"k"	"type"	"f"
"871"	"constancia"	1
"872"	"constante"	1
"873"	"constantemente"	2
"874"	"constituían"	1
"875"	"consuelo"	1
"876"	"consuelos"	2
"877"	"consultar"	1
"878"	"consultarte"	1
"879"	"consumido"	1
"880"	"consumir"	1
"881"	"contaba"	2
"882"	"contempla"	1
"883"	"contemplándola"	1
"884"	"contempló"	1
"885"	"contenía"	4
"886"	"contenido"	1
"887"	"contenta"	1
"888"	"contentos"	2
"889"	"contestación"	1
"890"	"contestara"	1
"891"	"contestarme"	1
"892"	"contesté"	1
"893"	"contestes"	1
"894"	"contiene"	1
"895"	"contigo"	2
"896"	"continuar"	1
"897"	"continué"	1
"898"	"continuó"	6
"899"	"contó"	1
"900"	"contornos"	2
"901"	"contra"	6
"902"	"contracción"	2
"903"	"contraída"	1
"904"	"contraído"	1
"905"	"contrario"	1
"906"	"contristados"	1
"907"	"convencerme"	1
"908"	"convencido"	1
"909"	"convenció"	1
"910"	"convendrás"	1
"911"	"convenido"	1
"912"	"conversación"	6
"913"	"convertidas"	1
"914"	"convidados"	1
"915"	"convidarte"	1
"916"	"convidó"	1
"917"	"convinieron"	1
"918"	"convínose"	1
"919"	"convirtieron"	1
"920"	"convoy"	1
"921"	"copa"	1
"922"	"copas"	4
"923"	"coral"	1
"924"	"corazón"	17
"925"	"cordillera"	2
"926"	"cordón"	1
"927"	"corona"	1
"928"	"coronarás"	1
"929"	"corpiño"	1
"930"	"corpulento"	2
"931"	"corpulentos"	1
"932"	"corral"	1
"933"	"corrales"	1
"934"	"corredor"	6
"935"	"corredores"	1
"936"	"corrido"	2
"937"	"corriente"	2
"938"	"corrientes"	3
"939"	"corrieron"	1
"940"	"corriesen"	1
"941"	"cortar"	1
"942"	"corte"	1
"943"	"cortijos"	1
"944"	"cortinas"	4
"945"	"cortó"	1
"946"	"cosa"	2
"947"	"cosas"	5
"948"	"costa"	1
"949"	"costas"	1
"950"	"costosa"	1
"951"	"costumbre"	5
"952"	"costumbres"	1
"953"	"costura"	1
"954"	"costurero"	2
"955"	"creación"	2
"956"	"crecido"	1
"957"	"creciente"	2
"958"	"crecientes"	1
"959"	"crecisteis"	1
"960"	"creer"	2
"961"	"creerá"	1
"962"	"creerla"	1
"963"	"creerme"	1
"964"	"creerse"	1
"965"	"creí"	5
"966"	"creía"	1
"967"	"creído"	1
"968"	"cremas"	1
"969"	"crenchas"	1
"970"	"creo"	1
"971"	"crestas"	3
"972"	"creyendo"	1
"973"	"criados"	1
"974"	"criatura"	1
"975"	"criaturas"	1
"976"	"criminal"	1
"977"	"crines"	2
"978"	"crió"	1
"979"	"cristal"	1
"980"	"cristalinas"	1
"981"	"cristiana"	3
"982"	"cristianas"	1
"983"	"cristianismo"	2
"984"	"cristiano"	1
"985"	"crucecilla"	1
"986"	"cruces"	2
"987"	"crucificado"	1
"988"	"crucifijo"	3
"989"	"cruel"	1
"990"	"crueldad"	1
"991"	"crujieron"	1
"992"	"cruz"	3
"993"	"cruzaba"	2
"994"	"cruzado"	1
"995"	"cruzados"	1
"996"	"cruzando"	1
"997"	"cruzar"	1
"998"	"cruzó"	1
"999"	"cuadras"	1
"1000"	"cuadrilla"	1
"1001"	"cual"	16
"1002"	"cuál"	2
"1003"	"cuales"	9
"1004"	"cualquier"	1
"1005"	"cuán"	2
"1006"	"cuando"	52
"1007"	"cuántas"	1
"1008"	"cuanto"	4
"1009"	"cuánto"	6
